[ 2025-11-11 11:17:15,179 ] 19 root - INFO -Initiate the data ingestion
[ 2025-11-11 11:17:21,032 ] 65 root - INFO -Performed train test split on the dataframe
[ 2025-11-11 11:17:21,032 ] 67 root - INFO -Excited split_data_as_train_test method of DataIngestion class
[ 2025-11-11 11:17:21,033 ] 71 root - INFO -Exporting train and test file path.
[ 2025-11-11 11:17:21,427 ] 79 root - INFO -Exported train and test file path.
[ 2025-11-11 11:17:21,428 ] 21 root - INFO -Data Initiation Completed
[ 2025-11-11 11:17:21,435 ] 25 root - INFO -Initiate the data Validation
[ 2025-11-11 11:17:21,544 ] 32 root - INFO -Required number of columns:2
[ 2025-11-11 11:17:21,544 ] 33 root - INFO -Data frame has columns:50
[ 2025-11-11 11:17:21,554 ] 32 root - INFO -Required number of columns:2
[ 2025-11-11 11:17:21,554 ] 33 root - INFO -Data frame has columns:50
[ 2025-11-11 11:17:22,237 ] 27 root - INFO -Data Validation Completed
[ 2025-11-11 11:17:22,238 ] 29 root - INFO -Data Transformation started
[ 2025-11-11 11:17:22,238 ] 63 root - INFO -Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-11 11:17:22,238 ] 65 root - INFO -Starting data transformation
[ 2025-11-11 11:17:22,298 ] 48 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-11 11:17:22,298 ] 53 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-11 11:17:22,321 ] 46 root - INFO -Entered the save_object method of MainUtils class
[ 2025-11-11 11:17:22,325 ] 50 root - INFO -Exited the save_object method of MainUtils class
[ 2025-11-11 11:17:22,325 ] 46 root - INFO -Entered the save_object method of MainUtils class
[ 2025-11-11 11:17:22,329 ] 50 root - INFO -Exited the save_object method of MainUtils class
[ 2025-11-11 11:17:22,330 ] 36 root - INFO -Data Transformation Completed
[ 2025-11-11 11:17:22,330 ] 38 root - INFO -Model Training sstared
[ 2025-11-11 11:23:12,407 ] 46 root - INFO -Entered the save_object method of MainUtils class
[ 2025-11-11 11:23:12,409 ] 50 root - INFO -Exited the save_object method of MainUtils class
[ 2025-11-11 11:23:12,409 ] 135 root - INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_11_2025_11_11_09\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0), test_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0))
[ 2025-11-11 11:23:12,411 ] 43 root - INFO -Model Training artifact created
